gtdb_accession	temp
GB_GCA_000010565.1	45.0256892917
GB_GCA_001048675.1	15.1337362467
GB_GCA_001584565.1	35.3578947368
GB_GCA_001610955.1	44.9288256228
GB_GCA_001644045.1	10.0633178953
GB_GCA_002029295.1	26.6194566424
GB_GCA_002951815.1	19.7012239021
GB_GCA_003023725.1	29.9118387909
GB_GCA_003148465.1	56.5
GB_GCA_003722315.1	37.3002510460355
GB_GCA_018853935.1	19.9637355982
GB_GCA_021608145.1	60.55902192245
RS_GCF_000006945.2	12.918021130961925
RS_GCF_000006985.1	32.1001154691
RS_GCF_000007145.1	9.87587341484306
RS_GCF_000007825.1	10.0
RS_GCF_000007925.1	12.7062370487
RS_GCF_000008545.1	74.9496783175
RS_GCF_000009045.1	19.8253695667629
RS_GCF_000010305.1	30.0
RS_GCF_000010785.1	50.0467067764
RS_GCF_000012325.1	5.95222224859128
RS_GCF_000013285.1	19.0
RS_GCF_000014185.1	30.0193116488
RS_GCF_000014805.1	0.539999999999964
RS_GCF_000015025.1	44.9145105353
RS_GCF_000015865.1	60.0
RS_GCF_000016785.1	46.157359756299996
RS_GCF_000016905.1	50.0651170031
RS_GCF_000017545.1	67.5
RS_GCF_000018105.1	14.9665164645
RS_GCF_000018605.1	59.0
RS_GCF_000018865.1	55.0
RS_GCF_000019085.1	65.0
RS_GCF_000019165.1	23.105065666
RS_GCF_000020005.1	53.0
RS_GCF_000020365.1	26.0
RS_GCF_000020485.1	60.0
RS_GCF_000020965.1	50.9710077811
RS_GCF_000021485.1	11.0
RS_GCF_000021545.1	68.0
RS_GCF_000021565.1	59.955083528
RS_GCF_000021725.1	29.8089192953
RS_GCF_000022145.1	30.0
RS_GCF_000022325.1	37.0142328125
RS_GCF_000023265.1	26.1
RS_GCF_000023325.1	65.0
RS_GCF_000024285.1	45.0252922526
RS_GCF_000024425.1	35.3343202566
RS_GCF_000024605.1	63.8963962703
RS_GCF_000024845.1	80.0
RS_GCF_000025005.1	42.9317317126
RS_GCF_000025945.1	-1.84740849175
RS_GCF_000091545.1	53.1455784239
RS_GCF_000092125.1	40.1702442635
RS_GCF_000092405.1	44.9054255849
RS_GCF_000092905.1	55.0
RS_GCF_000143685.1	37.0
RS_GCF_000145215.1	64.9074614862
RS_GCF_000146165.2	3.0
RS_GCF_000147695.2	67.5
RS_GCF_000147715.2	37.0
RS_GCF_000152805.1	10.6014758266
RS_GCF_000153485.2	0.881965324044
RS_GCF_000157975.1	37.0
RS_GCF_000165465.1	4.67934119305
RS_GCF_000166335.1	49.7571645063
RS_GCF_000166355.1	65.0
RS_GCF_000166775.1	70.0
RS_GCF_000167355.1	30.0
RS_GCF_000169195.2	27.9352748894241
RS_GCF_000172975.1	24.8019966156
RS_GCF_000173615.1	54.9584369015
RS_GCF_000175575.2	28.85679012345
RS_GCF_000183545.2	54.9692030804
RS_GCF_000184705.1	50.104387727
RS_GCF_000185805.1	59.9652001407
RS_GCF_000186245.1	28.006794967
RS_GCF_000186345.1	27.9562043796
RS_GCF_000190435.1	27.5
RS_GCF_000191045.1	37.082232912
RS_GCF_000195335.1	44.8563676987
RS_GCF_000196275.1	30.0494071146
