,genome,temp
0,GB_GCA_000016765.1,30.0
1,GB_GCA_000242235.1,37.0
2,GB_GCA_000283575.1,30.0
3,GB_GCA_000376885.1,37.0
4,GB_GCA_000411155.1,37.0
5,GB_GCA_000423665.1,28.0
6,GB_GCA_000717275.1,28.0
7,GB_GCA_001054945.1,37.0
8,GB_GCA_001184205.1,30.0
9,GB_GCA_001187505.1,37.0
10,GB_GCA_001749745.1,35.0
11,GB_GCA_001931535.1,28.0
12,GB_GCA_002368155.1,20.0
13,GB_GCA_002368275.1,20.0
14,GB_GCA_003011965.1,28.0
15,GB_GCA_003014445.1,37.0
16,GB_GCA_003067705.1,29.0
17,GB_GCA_003148465.1,37.0
18,GB_GCA_003576535.1,24.0
19,GB_GCA_004365575.1,48.0
20,GB_GCA_005046945.1,35.0
21,GB_GCA_005217565.1,28.0
22,GB_GCA_005473895.2,37.0
23,GB_GCA_007050995.1,30.0
24,GB_GCA_009363175.1,37.0
25,GB_GCA_009734345.1,29.0
26,GB_GCA_009745985.1,30.0
27,GB_GCA_009768935.1,40.0
28,GB_GCA_009856365.1,27.0
29,GB_GCA_010730955.1,29.0
30,GB_GCA_012999515.1,30.0
31,GB_GCA_013415235.1,37.0
32,GB_GCA_014208095.1,28.0
33,GB_GCA_016919005.1,28.0
34,GB_GCA_017051695.1,37.0
35,GB_GCA_017161305.1,37.0
36,GB_GCA_018323985.1,37.0
37,GB_GCA_019334725.1,37.0
38,GB_GCA_019779905.1,28.0
39,GB_GCA_900100475.1,30.0
40,GB_GCA_900112325.1,28.0
41,GB_GCA_902141825.1,26.0
42,GB_GCA_902167325.1,22.0
43,GB_GCA_902386935.1,37.0
44,RS_GCF_000006685.1,37.0
45,RS_GCF_000006985.1,47.0
46,RS_GCF_000007125.1,37.0
47,RS_GCF_000007205.1,37.0
48,RS_GCF_000007605.1,37.0
49,RS_GCF_000007905.1,37.0
50,RS_GCF_000007925.1,20.0
51,RS_GCF_000007985.2,35.0
52,RS_GCF_000008185.1,37.0
53,RS_GCF_000008305.1,30.0
54,RS_GCF_000008465.1,30.0
55,RS_GCF_000009365.1,30.0
56,RS_GCF_000009765.2,28.0
57,RS_GCF_000009905.1,60.0
58,RS_GCF_000009945.1,37.0
59,RS_GCF_000010305.1,30.0
60,RS_GCF_000010505.1,37.0
61,RS_GCF_000010525.1,30.0
62,RS_GCF_000010665.1,30.0
63,RS_GCF_000010985.1,62.0
64,RS_GCF_000011245.1,29.0
65,RS_GCF_000011305.1,37.0
66,RS_GCF_000011385.1,26.0
67,RS_GCF_000011565.2,25.0
68,RS_GCF_000011965.2,30.0
69,RS_GCF_000012305.1,20.0
70,RS_GCF_000012325.1,10.0
71,RS_GCF_000012725.1,28.0
72,RS_GCF_000012765.1,37.0
73,RS_GCF_000012805.1,30.0
74,RS_GCF_000012865.1,66.0
75,RS_GCF_000012885.1,30.0
76,RS_GCF_000012925.1,30.0
77,RS_GCF_000012945.1,29.0
78,RS_GCF_000012965.1,21.0
79,RS_GCF_000012985.1,25.0
80,RS_GCF_000013025.1,26.0
81,RS_GCF_000013285.1,37.0
82,RS_GCF_000013325.1,30.0
83,RS_GCF_000013345.1,28.0
84,RS_GCF_000013405.1,36.0
85,RS_GCF_000013605.1,25.0
86,RS_GCF_000013645.1,29.0
87,RS_GCF_000013665.1,28.0
88,RS_GCF_000013705.1,30.0
89,RS_GCF_000013765.1,24.0
90,RS_GCF_000013885.1,28.0
91,RS_GCF_000013905.1,20.0
92,RS_GCF_000013985.1,28.0
93,RS_GCF_000014145.1,30.0
94,RS_GCF_000014185.1,60.0
95,RS_GCF_000014725.1,36.0
96,RS_GCF_000014785.1,30.0
97,RS_GCF_000014865.1,25.0
98,RS_GCF_000014965.1,37.0
99,RS_GCF_000015025.1,55.0
100,RS_GCF_000015045.1,30.0
101,RS_GCF_000015125.1,25.0
102,RS_GCF_000015245.1,25.0
103,RS_GCF_000015285.1,5.0
104,RS_GCF_000015505.1,20.0
105,RS_GCF_000015565.1,27.0
106,RS_GCF_000015585.1,25.0
107,RS_GCF_000015725.1,27.0
108,RS_GCF_000016065.1,20.0
109,RS_GCF_000016165.1,37.0
110,RS_GCF_000016185.1,37.0
111,RS_GCF_000016345.1,28.0
112,RS_GCF_000016425.1,28.0
113,RS_GCF_000016545.1,65.0
114,RS_GCF_000016645.1,25.0
115,RS_GCF_000016785.1,80.0
116,RS_GCF_000017265.1,30.0
117,RS_GCF_000017305.1,30.0
118,RS_GCF_000017545.1,70.0
119,RS_GCF_000017565.1,30.0
120,RS_GCF_000017585.1,37.0
121,RS_GCF_000017805.1,50.0
122,RS_GCF_000018025.1,17.0
123,RS_GCF_000018105.1,25.0
124,RS_GCF_000018145.1,27.0
125,RS_GCF_000018285.1,25.0
126,RS_GCF_000018325.1,37.0
127,RS_GCF_000018605.1,55.0
128,RS_GCF_000018865.1,49.0
129,RS_GCF_000018885.1,15.0
130,RS_GCF_000018945.1,79.0
131,RS_GCF_000019085.1,65.0
132,RS_GCF_000019185.1,15.0
133,RS_GCF_000019345.1,37.0
134,RS_GCF_000019525.1,25.0
135,RS_GCF_000019725.1,30.0
136,RS_GCF_000019785.1,25.0
137,RS_GCF_000019845.1,27.0
