	Position	Contacts at 4.5 Å	SASA	uid	total_score	avg_deg_4_5	avg_deg_8	avg_sc_nbrs_res_summary	bb_internal_hbonds	bbsc_internal_hbonds	cav_vol	dslf_fa13	fa_atr	fa_dun	fa_elec	fa_intra_rep	fa_intra_sol_xover4	fa_rep	fa_sol	hbond_bb_sc	hbond_lr_bb	hbond_sc	hbond_sr_bb	internal_hbonds	lk_ball_wtd	nonpolar_sasa	omega	p_aa_pp	packstat	polar_sasa	pro_close	rama_prepro	ref	sasa	sc_internal_hbonds	total_cc_contacts	yhh_planarity	%S	%L	%H	length	avg_cc_contacts_per_res	temp	mean_temp	seq_length	bitscore	C	L	N	P	max_structure_length	lid_bitscore
0	94.0	11.358288770053475	52.61649137095515	GB_GCA_000376885.1	-454.076	1.278	10.765	2.648	124.0	21.0	167.472	0.0	-1068.002	271.954	-345.566	1.493	35.98	93.169	693.955	-14.957	-27.13	-18.085	-95.538	166.0	-22.733	5516.588	37.139	-30.139	0.576	4111.25	8.689	-13.65	39.305	9627.839	21.0	576.0	0.04	0.1229946524064171	0.267379679144385	0.6096256684491979	187.0	3.0802139037433154	37.0	37.0	187	178.2	90.0	48.0	42.0	6.0	24	0.0
1	108.0	11.125581395348837	49.46404021250388	GB_GCA_000016765.1	-450.126	1.316	10.73	2.697	132.0	30.0	185.995	0.0	-1182.655	305.021	-384.191	1.514	32.016	103.428	777.589	-26.971	-34.411	-23.89	-88.569	196.0	-17.28	6315.315	44.465	-34.819	0.641	4147.046	13.362	-17.049	82.279	10462.361	34.0	599.0	0.034	0.1674418604651162	0.3488372093023256	0.4837209302325581	215.0	2.786046511627907	30.0	30.0	215	175.3	116.0	49.0	43.0	6.0	23	52.3
2	119.5	11.289719626168225	49.53823170362492	GB_GCA_000242235.1	-419.604	1.327	10.981	2.842	128.0	22.0	316.792	0.0	-1215.348	317.742	-386.572	1.669	38.241	118.015	796.34	-16.439	-35.116	-24.315	-89.758	179.0	-20.451	6323.363	41.023	-32.554	0.605	4168.722	15.707	6.99	65.077	10492.085	29.0	664.0	0.146	0.1635514018691588	0.322429906542056	0.514018691588785	214.0	3.102803738317757	37.0	37.0	214	192.2	117.0	48.0	42.0	6.0	24	59.2
3	105.5	11.276190476190475	50.01807978598774	GB_GCA_000283575.1	-452.738	1.39	10.905	2.771	129.0	20.0	356.047	0.0	-1156.575	283.487	-367.607	1.586	36.254	103.988	759.481	-19.71	-36.311	-26.368	-89.543	172.0	-24.352	6057.662	45.198	-36.564	0.548	4275.751	13.092	-11.115	72.309	10333.413	23.0	589.0	0.012	0.1714285714285714	0.3285714285714285	0.5	210.0	2.804761904761905	30.0	30.0	210	168.7	112.0	48.0	43.0	6.0	24	58.3
4	91.0	11.359116022099448	51.48304920771312	GB_GCA_001054945.1	-431.8	1.243	10.768	2.669	117.0	20.0	211.329	0.0	-1025.66	274.537	-334.659	1.382	34.78	86.144	678.984	-18.123	-25.013	-23.656	-87.959	168.0	-25.753	4898.901	38.799	-30.606	0.591	4315.683	9.625	-13.34	28.665	9214.585	31.0	532.0	0.053	0.1270718232044199	0.2707182320441988	0.6022099447513812	181.0	2.9392265193370166	37.0	37.0	181	192.9	88.0	44.0	42.0	6.0	21	0.0
5	105.5	11.391752577319588	51.80794481190894	GB_GCA_000411155.1	-433.888	1.351	10.876	2.716	125.0	23.0	226.76	0.0	-1110.039	285.077	-361.636	1.606	34.616	101.061	706.073	-19.209	-27.81	-27.646	-95.645	175.0	-18.466	5740.476	44.294	-31.856	0.578	4190.758	18.201	11.772	55.58	9931.234	27.0	631.0	0.14	0.1185567010309278	0.2783505154639175	0.6030927835051546	194.0	3.252577319587629	37.0	37.0	194	164.5	96.0	48.0	43.0	6.0	25	0.0
6	91.0	11.314917127071825	51.804797158488434	GB_GCA_001187505.1	-443.85	1.298	10.757	2.727	117.0	22.0	223.269	0.0	-1009.724	255.205	-343.119	1.424	32.582	88.352	666.657	-21.253	-25.521	-22.068	-85.446	164.0	-21.443	5142.962	38.583	-34.529	0.592	4151.519	11.423	-10.415	35.368	9294.481	25.0	564.0	0.076	0.1270718232044199	0.3038674033149171	0.569060773480663	181.0	3.116022099447514	37.0	37.0	181	179.2	88.0	44.0	42.0	6.0	21	0.0
7	104.5	11.423076923076923	51.59611791532909	GB_GCA_001749745.1	-449.8	1.346	10.913	2.802	130.0	25.0	161.478	0.0	-1170.811	296.594	-366.58	1.63	36.077	109.328	744.838	-18.266	-36.938	-15.154	-89.226	174.0	-21.843	6151.486	38.182	-36.055	0.625	4392.234	17.637	3.967	56.768	10543.72	19.0	652.0	0.052	0.173076923076923	0.3317307692307692	0.4951923076923077	208.0	3.1346153846153846	35.0	35.0	208	176.1	111.0	48.0	42.0	6.0	24	68.2
8	91.0	11.248618784530386	50.42672659922325	GB_GCA_000717275.1	-421.557	1.287	10.89	2.767	119.0	25.0	165.65	0.0	-1020.892	248.108	-325.04	1.409	32.317	89.563	653.937	-19.692	-26.832	-21.841	-85.665	166.0	-20.709	5186.449	39.481	-31.98	0.606	3733.916	19.31	-15.942	62.87	8920.365	22.0	551.0	0.042	0.1270718232044199	0.2983425414364641	0.574585635359116	181.0	3.044198895027624	28.0	28.666666666666668	181	181.4	88.0	44.0	42.0	6.0	21	0.0
9	107.0	11.446009389671362	50.45812899565063	GB_GCA_001184205.1	-437.262	1.347	10.812	2.679	132.0	32.0	209.604	0.0	-1210.039	329.355	-393.625	1.648	37.324	109.84	793.214	-21.925	-35.121	-19.794	-91.179	188.0	-22.576	6278.706	39.805	-31.047	0.606	4361.12	19.617	7.042	50.13	10639.826	24.0	661.0	0.069	0.1690140845070422	0.3098591549295774	0.5211267605633803	213.0	3.103286384976526	30.0	30.0	213	199.8	115.0	48.0	43.0	6.0	24	67.7
