Position	Contacts at 4.5 Å	SASA	uid
94.0	11.358288770053475	52.61649137095515	GB_GCA_000376885.1
108.0	11.125581395348837	49.46404021250388	GB_GCA_000016765.1
119.5	11.289719626168225	49.53823170362492	GB_GCA_000242235.1
105.5	11.276190476190477	50.01807978598774	GB_GCA_000283575.1
91.0	11.359116022099448	51.483049207713115	GB_GCA_001054945.1
105.5	11.391752577319588	51.80794481190894	GB_GCA_000411155.1
91.0	11.314917127071823	51.804797158488434	GB_GCA_001187505.1
104.5	11.423076923076923	51.59611791532909	GB_GCA_001749745.1
91.0	11.248618784530386	50.42672659922325	GB_GCA_000717275.1
107.0	11.446009389671362	50.45812899565063	GB_GCA_001184205.1
111.5	11.339449541284404	52.104833601161296	GB_GCA_000423665.1
103.0	11.102439024390243	50.021041544974835	GB_GCA_001931535.1
92.0	11.420765027322405	51.77276441929743	GB_GCA_002368275.1
92.0	11.486338797814208	51.74701556883141	GB_GCA_002368155.1
108.0	11.376744186046512	50.19600617973872	GB_GCA_003011965.1
106.5	11.254716981132075	51.1916836145551	GB_GCA_003014445.1
91.0	11.513812154696133	47.83439557121776	GB_GCA_003576535.1
95.5	11.51578947368421	49.511307763302234	GB_GCA_005217565.1
98.0	11.374358974358975	50.101942711396056	GB_GCA_003067705.1
108.0	11.423255813953489	53.26838447970792	GB_GCA_003148465.1
107.5	11.392523364485982	52.15521801510973	GB_GCA_005046945.1
104.5	11.317307692307692	52.18718469095631	GB_GCA_004365575.1
107.5	11.093457943925234	50.661644402210804	GB_GCA_005473895.2
94.0	11.401069518716577	48.961546773165516	GB_GCA_007050995.1
107.5	11.177570093457945	50.753692591317986	GB_GCA_009363175.1
107.5	11.242990654205608	50.726320358425994	GB_GCA_009734345.1
98.0	11.398963730569948	48.954363935268645	GB_GCA_009745985.1
91.0	11.359116022099448	51.07971807391763	GB_GCA_010730955.1
107.0	11.427230046948356	51.51043424552856	GB_GCA_009768935.1
90.5	11.28888888888889	52.01984762803443	GB_GCA_014208095.1
95.5	11.2	52.230766291954495	GB_GCA_017051695.1
109.5	11.18348623853211	51.57259307275834	GB_GCA_009856365.1
92.5	11.5	49.38196223407563	GB_GCA_012999515.1
109.0	11.28110599078341	50.368461658267805	GB_GCA_013415235.1
114.0	11.102222222222222	53.58539102760575	GB_GCA_016919005.1
105.0	11.263157894736842	52.52804662776481	GB_GCA_017161305.1
107.5	11.186915887850468	50.7968414738504	GB_GCA_018323985.1
98.0	11.271794871794873	52.30236379480208	GB_GCA_900100475.1
108.0	11.134883720930233	49.72930483447404	GB_GCA_019334725.1
96.5	11.15625	52.70086829101521	GB_GCA_019779905.1
106.0	11.357512953367875	50.697018923246446	GB_GCA_902167325.1
108.5	11.36111111111111	49.190544113692354	GB_GCA_900112325.1
114.5	11.288288288288289	53.917902661527286	RS_GCF_000006685.1
107.5	11.411214953271028	52.13999812028103	GB_GCA_902386935.1
96.5	11.177083333333334	52.090582469403934	RS_GCF_000007125.1
106.0	11.19431279620853	50.006614460460774	GB_GCA_902141825.1
109.5	11.18348623853211	48.784229112970976	RS_GCF_000006985.1
107.5	11.371428571428572	52.04556309380982	RS_GCF_000007205.1
95.5	11.48421052631579	50.018966807665926	RS_GCF_000007905.1
134.0	11.260663507109005	49.80468487931855	RS_GCF_000007605.1
92.0	11.535911602209945	52.325525680154215	RS_GCF_000007925.1
107.5	11.392523364485982	50.15693757152503	RS_GCF_000007985.2
105.0	11.253588516746412	54.29753912983741	RS_GCF_000008185.1
106.5	11.320754716981131	51.66218193250952	RS_GCF_000008305.1
107.5	11.36448598130841	50.456542918592895	RS_GCF_000008465.1
107.0	11.464788732394366	48.323456522046264	RS_GCF_000010305.1
108.0	11.368421052631579	50.33160764359039	RS_GCF_000009945.1
109.0	11.327188940092165	49.92637362452129	RS_GCF_000009365.1
108.0	11.386046511627907	51.362623945916674	RS_GCF_000009765.2
108.0	11.35813953488372	50.36723371045539	RS_GCF_000009905.1
96.0	11.465968586387435	51.55504339014447	RS_GCF_000010505.1
112.0	11.094170403587444	52.92330642572702	RS_GCF_000010665.1
97.0	11.264248704663212	51.62320906221681	RS_GCF_000010525.1
91.0	11.359116022099448	49.27470311517519	RS_GCF_000011305.1
108.0	11.246511627906976	52.16415095832531	RS_GCF_000010985.1
107.5	11.383177570093459	51.17863078490989	RS_GCF_000011245.1
107.5	11.19626168224299	50.34225262344285	RS_GCF_000011385.1
120.0	11.293023255813953	52.54981271466975	RS_GCF_000011565.2
107.5	11.261682242990654	48.13158598293937	RS_GCF_000012325.1
100.5	11.272727272727273	51.85243135584651	RS_GCF_000012725.1
117.0	11.239819004524886	48.864861001868135	RS_GCF_000011965.2
109.5	11.1651376146789	49.7337582108767	RS_GCF_000012305.1
107.0	11.352112676056338	52.157847506188524	RS_GCF_000012765.1
109.0	11.603686635944701	50.81992627186328	RS_GCF_000012805.1
107.0	11.380281690140846	50.29337604208878	RS_GCF_000012865.1
107.5	11.383177570093459	50.273075915893706	RS_GCF_000012885.1
114.0	11.348837209302326	49.23088356755623	RS_GCF_000012925.1
110.5	11.354545454545455	48.97836307654568	RS_GCF_000012945.1
94.5	11.436170212765957	50.47277345696908	RS_GCF_000013025.1
109.0	11.225806451612904	50.464358730586476	RS_GCF_000012985.1
108.0	11.265116279069767	49.46988411256332	RS_GCF_000013325.1
108.0	11.386046511627907	50.55419065494239	RS_GCF_000013345.1
108.0	11.237209302325581	49.75988138005631	RS_GCF_000012965.1
107.0	11.352112676056338	50.729834418006845	RS_GCF_000013285.1
108.0	11.376744186046512	50.80753425079989	RS_GCF_000013405.1
109.5	11.275229357798166	48.46060957253643	RS_GCF_000013605.1
111.0	11.2579185520362	50.512839994034856	RS_GCF_000013645.1
109.0	11.235023041474655	50.98774164450632	RS_GCF_000013665.1
109.5	11.26605504587156	49.22446969724964	RS_GCF_000013705.1
103.0	11.279187817258883	52.1857975328645	RS_GCF_000013885.1
95.5	11.43157894736842	50.87022459854039	RS_GCF_000014145.1
107.5	11.186915887850468	49.95235334673342	RS_GCF_000013765.1
109.0	11.105990783410139	49.361655835028095	RS_GCF_000013985.1
109.0	11.170506912442397	49.54423482266481	RS_GCF_000013905.1
103.5	11.514563106796116	49.46497139112114	RS_GCF_000014185.1
108.0	11.451162790697675	49.65662379911448	RS_GCF_000014725.1
109.5	11.302752293577981	49.57269909684315	RS_GCF_000014785.1
107.0	11.314553990610328	49.67805048961858	RS_GCF_000014865.1
107.0	11.342723004694836	50.31345140911568	RS_GCF_000014965.1
109.5	11.192660550458715	51.333610223115386	RS_GCF_000015125.1
107.5	11.299065420560748	50.26572164127213	RS_GCF_000015045.1
108.5	11.37037037037037	49.952802422614184	RS_GCF_000015025.1
107.5	11.22429906542056	48.74255899375065	RS_GCF_000015245.1
107.5	11.19626168224299	48.09391853952466	RS_GCF_000015285.1
109.0	11.262672811059907	50.06804910476304	RS_GCF_000015505.1
109.0	11.35483870967742	50.382929008044584	RS_GCF_000015565.1
110.0	11.251141552511415	49.91576203301708	RS_GCF_000015585.1
109.0	11.235023041474655	49.08912723560109	RS_GCF_000015725.1
107.5	11.22429906542056	49.60335287343227	RS_GCF_000016065.1
107.0	11.342723004694836	51.43475310741214	RS_GCF_000016165.1
108.0	11.144186046511628	49.263469721282334	RS_GCF_000016185.1
95.5	11.389473684210527	50.92856917262665	RS_GCF_000016645.1
95.0	11.365079365079366	48.87920834974413	RS_GCF_000017265.1
111.0	11.176470588235293	50.796661237463475	RS_GCF_000016345.1
108.0	11.432558139534883	49.66959461982825	RS_GCF_000016425.1
107.5	11.42056074766355	52.134959557645445	RS_GCF_000016545.1
94.5	11.24468085106383	51.552370442588945	RS_GCF_000017305.1
109.0	11.52073732718894	54.54032239451362	RS_GCF_000016785.1
96.0	11.298429319371728	49.08649856607377	RS_GCF_000017565.1
108.5	11.333333333333334	53.0921896199835	RS_GCF_000017545.1
95.5	11.421052631578947	51.0391187492665	RS_GCF_000017585.1
109.0	11.410138248847927	52.199891848743476	RS_GCF_000017805.1
93.0	11.481081081081081	49.27641292678456	RS_GCF_000018105.1
107.5	11.19626168224299	49.304677978026334	RS_GCF_000018025.1
107.0	11.173708920187794	48.87506136606291	RS_GCF_000018145.1
96.5	11.322916666666666	51.13491573067849	RS_GCF_000018885.1
107.0	11.511737089201878	50.73201960956171	RS_GCF_000018325.1
106.5	11.537735849056604	52.355017051671325	RS_GCF_000018605.1
107.5	11.177570093457945	48.763833031229616	RS_GCF_000018285.1
109.5	11.36697247706422	51.2239701670685	RS_GCF_000018865.1
109.5	11.385321100917432	53.85084651687754	RS_GCF_000018945.1
107.0	11.32394366197183	52.84861384281325	RS_GCF_000019085.1
107.5	11.177570093457945	48.52251626576422	RS_GCF_000019185.1
106.0	11.203791469194313	53.029839704733206	RS_GCF_000019345.1
98.0	11.21025641025641	51.15924535163701	RS_GCF_000019725.1
97.0	11.129533678756477	52.163991069119255	RS_GCF_000019845.1
107.5	11.214953271028037	49.46653172757777	RS_GCF_000019525.1
109.0	11.299539170506913	49.180523856281205	RS_GCF_000019785.1
92.0	11.562841530054644	52.60087477685322	RS_GCF_000020025.1
107.0	11.145539906103286	50.33398006223978	RS_GCF_000019905.1
106.5	11.367924528301886	52.52093471949951	RS_GCF_000020005.1
111.0	11.239819004524886	50.0635776311903	RS_GCF_000020045.1
195.0	11.604113110539846	49.865025250637466	RS_GCF_000019965.1
111.0	11.149321266968325	50.33643550094529	RS_GCF_000020125.1
107.0	11.295774647887324	51.97559958656063	RS_GCF_000020145.1
107.0	11.267605633802816	49.36395669918029	RS_GCF_000020385.1
112.5	11.375	49.39996112622206	RS_GCF_000020365.1
96.5	11.572916666666666	51.023887428435955	RS_GCF_000020565.1
109.5	11.220183486238533	49.940912997378334	RS_GCF_000020465.1
100.5	11.45360824742268	50.05269533947748	RS_GCF_000020685.1
109.5	11.18348623853211	50.4126275037226	RS_GCF_000020505.1
107.0	11.352112676056338	52.66912826513368	RS_GCF_000020485.1
109.5	11.311926605504587	51.068207541908905	RS_GCF_000020625.1
106.5	11.518867924528301	50.94262579549647	RS_GCF_000020945.1
107.0	11.258215962441314	49.504204669572204	RS_GCF_000020725.1
108.0	11.451162790697675	52.9098226159378	RS_GCF_000020965.1
107.5	11.514018691588785	51.512419337742756	RS_GCF_000020985.1
109.5	11.247706422018348	51.098407308931286	RS_GCF_000021325.1
96.5	11.552083333333334	49.57642019865398	RS_GCF_000021725.1
104.0	11.346341463414634	52.42349095124815	RS_GCF_000021565.1
105.5	11.304761904761905	52.78844781918219	RS_GCF_000021545.1
108.0	11.544186046511628	53.21530061164909	RS_GCF_000021645.1
115.5	11.389380530973451	50.275197218300235	RS_GCF_000021685.1
96.5	11.25	52.34836163307913	RS_GCF_000021745.1
107.5	11.392523364485982	50.23049566163159	RS_GCF_000021925.1
109.5	11.394495412844037	51.29496282297092	RS_GCF_000021945.1
109.0	11.133640552995391	50.997404581249526	RS_GCF_000021865.1
96.5	11.479166666666666	50.837788295731684	RS_GCF_000022025.1
107.5	11.411214953271028	52.459839968897455	RS_GCF_000022065.1
98.0	11.2	50.88981170036087	RS_GCF_000022085.1
107.5	11.36448598130841	49.98722050951584	RS_GCF_000022145.1
91.0	11.43646408839779	50.98370439292953	RS_GCF_000022905.1
108.0	11.413953488372092	51.81838373475297	RS_GCF_000022325.1
97.0	11.3717277486911	51.02369843614325	RS_GCF_000023105.1
107.5	11.261682242990654	49.60404382416344	RS_GCF_000023065.1
128.0	11.330316742081449	50.44671508089752	RS_GCF_000022565.1
95.5	11.463157894736842	49.126722330751534	RS_GCF_000023125.1
92.0	11.398907103825136	51.032526701796854	RS_GCF_000023145.1
91.0	11.281767955801104	50.957813545472725	RS_GCF_000023245.1
