	Position	Contacts at 4.5 Å	SASA	genome	temp
0	108.0	11.125581395348837	49.46404021250388	GB_GCA_000016765.1	30.0
1	119.5	11.289719626168225	49.53823170362492	GB_GCA_000242235.1	37.0
2	105.5	11.276190476190477	50.01807978598774	GB_GCA_000283575.1	30.0
3	94.0	11.358288770053475	52.61649137095515	GB_GCA_000376885.1	37.0
4	105.5	11.391752577319588	51.80794481190894	GB_GCA_000411155.1	37.0
5	111.5	11.339449541284404	52.104833601161296	GB_GCA_000423665.1	28.0
6	91.0	11.248618784530386	50.42672659922325	GB_GCA_000717275.1	28.0
7	91.0	11.359116022099448	51.483049207713115	GB_GCA_001054945.1	37.0
8	107.0	11.446009389671362	50.45812899565063	GB_GCA_001184205.1	30.0
9	91.0	11.314917127071823	51.804797158488434	GB_GCA_001187505.1	37.0
10	104.5	11.423076923076923	51.59611791532909	GB_GCA_001749745.1	35.0
11	103.0	11.102439024390243	50.021041544974835	GB_GCA_001931535.1	28.0
12	92.0	11.486338797814208	51.74701556883141	GB_GCA_002368155.1	20.0
13	92.0	11.420765027322405	51.77276441929743	GB_GCA_002368275.1	20.0
14	108.0	11.376744186046512	50.19600617973872	GB_GCA_003011965.1	28.0
15	106.5	11.254716981132075	51.1916836145551	GB_GCA_003014445.1	37.0
16	98.0	11.374358974358975	50.101942711396056	GB_GCA_003067705.1	29.0
17	108.0	11.423255813953489	53.26838447970792	GB_GCA_003148465.1	37.0
18	91.0	11.513812154696133	47.83439557121776	GB_GCA_003576535.1	24.0
19	104.5	11.317307692307692	52.18718469095631	GB_GCA_004365575.1	48.0
20	107.5	11.392523364485982	52.15521801510973	GB_GCA_005046945.1	35.0
21	95.5	11.51578947368421	49.511307763302234	GB_GCA_005217565.1	28.0
22	107.5	11.093457943925234	50.661644402210804	GB_GCA_005473895.2	37.0
23	94.0	11.401069518716577	48.961546773165516	GB_GCA_007050995.1	30.0
24	107.5	11.177570093457945	50.753692591317986	GB_GCA_009363175.1	37.0
25	107.5	11.242990654205608	50.726320358425994	GB_GCA_009734345.1	29.0
26	98.0	11.398963730569948	48.954363935268645	GB_GCA_009745985.1	30.0
27	107.0	11.427230046948356	51.51043424552856	GB_GCA_009768935.1	40.0
28	109.5	11.18348623853211	51.57259307275834	GB_GCA_009856365.1	27.0
29	91.0	11.359116022099448	51.07971807391763	GB_GCA_010730955.1	29.0
30	92.5	11.5	49.38196223407563	GB_GCA_012999515.1	30.0
31	109.0	11.28110599078341	50.368461658267805	GB_GCA_013415235.1	37.0
32	90.5	11.28888888888889	52.01984762803443	GB_GCA_014208095.1	28.0
33	114.0	11.102222222222222	53.58539102760575	GB_GCA_016919005.1	28.0
34	95.5	11.2	52.230766291954495	GB_GCA_017051695.1	37.0
35	105.0	11.263157894736842	52.52804662776481	GB_GCA_017161305.1	37.0
36	107.5	11.186915887850468	50.7968414738504	GB_GCA_018323985.1	37.0
37	108.0	11.134883720930233	49.72930483447404	GB_GCA_019334725.1	37.0
38	96.5	11.15625	52.70086829101521	GB_GCA_019779905.1	28.0
39	98.0	11.271794871794873	52.30236379480208	GB_GCA_900100475.1	30.0
40	108.5	11.36111111111111	49.190544113692354	GB_GCA_900112325.1	28.0
41	106.0	11.19431279620853	50.006614460460774	GB_GCA_902141825.1	26.0
42	106.0	11.357512953367875	50.697018923246446	GB_GCA_902167325.1	22.0
43	107.5	11.411214953271028	52.13999812028103	GB_GCA_902386935.1	37.0
44	114.5	11.288288288288289	53.917902661527286	RS_GCF_000006685.1	37.0
45	109.5	11.18348623853211	48.784229112970976	RS_GCF_000006985.1	47.0
46	96.5	11.177083333333334	52.090582469403934	RS_GCF_000007125.1	37.0
47	107.5	11.371428571428572	52.04556309380982	RS_GCF_000007205.1	37.0
48	134.0	11.260663507109005	49.80468487931855	RS_GCF_000007605.1	37.0
49	95.5	11.48421052631579	50.018966807665926	RS_GCF_000007905.1	37.0
50	92.0	11.535911602209945	52.325525680154215	RS_GCF_000007925.1	20.0
51	107.5	11.392523364485982	50.15693757152503	RS_GCF_000007985.2	35.0
52	105.0	11.253588516746412	54.29753912983741	RS_GCF_000008185.1	37.0
53	106.5	11.320754716981131	51.66218193250952	RS_GCF_000008305.1	30.0
54	107.5	11.36448598130841	50.456542918592895	RS_GCF_000008465.1	30.0
55	109.0	11.327188940092165	49.92637362452129	RS_GCF_000009365.1	30.0
56	108.0	11.386046511627907	51.362623945916674	RS_GCF_000009765.2	28.0
57	108.0	11.35813953488372	50.36723371045539	RS_GCF_000009905.1	60.0
58	108.0	11.368421052631579	50.33160764359039	RS_GCF_000009945.1	37.0
59	107.0	11.464788732394366	48.323456522046264	RS_GCF_000010305.1	30.0
60	96.0	11.465968586387435	51.55504339014447	RS_GCF_000010505.1	37.0
61	97.0	11.264248704663212	51.62320906221681	RS_GCF_000010525.1	30.0
62	112.0	11.094170403587444	52.92330642572702	RS_GCF_000010665.1	30.0
63	108.0	11.246511627906976	52.16415095832531	RS_GCF_000010985.1	62.0
64	107.5	11.383177570093459	51.17863078490989	RS_GCF_000011245.1	29.0
65	91.0	11.359116022099448	49.27470311517519	RS_GCF_000011305.1	37.0
66	107.5	11.19626168224299	50.34225262344285	RS_GCF_000011385.1	26.0
67	120.0	11.293023255813953	52.54981271466975	RS_GCF_000011565.2	25.0
68	117.0	11.239819004524886	48.864861001868135	RS_GCF_000011965.2	30.0
69	109.5	11.1651376146789	49.7337582108767	RS_GCF_000012305.1	20.0
70	107.5	11.261682242990654	48.13158598293937	RS_GCF_000012325.1	10.0
71	100.5	11.272727272727273	51.85243135584651	RS_GCF_000012725.1	28.0
72	107.0	11.352112676056338	52.157847506188524	RS_GCF_000012765.1	37.0
73	109.0	11.603686635944701	50.81992627186328	RS_GCF_000012805.1	30.0
74	107.0	11.380281690140846	50.29337604208878	RS_GCF_000012865.1	66.0
75	107.5	11.383177570093459	50.273075915893706	RS_GCF_000012885.1	30.0
76	114.0	11.348837209302326	49.23088356755623	RS_GCF_000012925.1	30.0
77	110.5	11.354545454545455	48.97836307654568	RS_GCF_000012945.1	29.0
78	108.0	11.237209302325581	49.75988138005631	RS_GCF_000012965.1	21.0
79	109.0	11.225806451612904	50.464358730586476	RS_GCF_000012985.1	25.0
80	94.5	11.436170212765957	50.47277345696908	RS_GCF_000013025.1	26.0
81	107.0	11.352112676056338	50.729834418006845	RS_GCF_000013285.1	37.0
82	108.0	11.265116279069767	49.46988411256332	RS_GCF_000013325.1	30.0
83	108.0	11.386046511627907	50.55419065494239	RS_GCF_000013345.1	28.0
84	108.0	11.376744186046512	50.80753425079989	RS_GCF_000013405.1	36.0
85	109.5	11.275229357798166	48.46060957253643	RS_GCF_000013605.1	25.0
86	111.0	11.2579185520362	50.512839994034856	RS_GCF_000013645.1	29.0
87	109.0	11.235023041474655	50.98774164450632	RS_GCF_000013665.1	28.0
88	109.5	11.26605504587156	49.22446969724964	RS_GCF_000013705.1	30.0
89	107.5	11.186915887850468	49.95235334673342	RS_GCF_000013765.1	24.0
90	103.0	11.279187817258883	52.1857975328645	RS_GCF_000013885.1	28.0
91	109.0	11.170506912442397	49.54423482266481	RS_GCF_000013905.1	20.0
92	109.0	11.105990783410139	49.361655835028095	RS_GCF_000013985.1	28.0
93	95.5	11.43157894736842	50.87022459854039	RS_GCF_000014145.1	30.0
94	103.5	11.514563106796116	49.46497139112114	RS_GCF_000014185.1	60.0
95	108.0	11.451162790697675	49.65662379911448	RS_GCF_000014725.1	36.0
96	109.5	11.302752293577981	49.57269909684315	RS_GCF_000014785.1	30.0
97	107.0	11.314553990610328	49.67805048961858	RS_GCF_000014865.1	25.0
98	107.0	11.342723004694836	50.31345140911568	RS_GCF_000014965.1	37.0
99	108.5	11.37037037037037	49.952802422614184	RS_GCF_000015025.1	55.0
100	107.5	11.299065420560748	50.26572164127213	RS_GCF_000015045.1	30.0
101	109.5	11.192660550458715	51.333610223115386	RS_GCF_000015125.1	25.0
